chr	start	end	leaf	fruit
chr	start	end	mid	leaf	fruit	mean_RPKM	max_RPKM	geneN
Chr01A	5550000	5580000	5565000	56.5751106666667	111.475638666667	84.0253746666667	111.475638666667	3
Chr01A	5580000	5610000	5595000	0	0	0	0	1
Chr01A	5610000	5640000	5625000	0.1452955	2.8569745	1.501135	2.8569745	2
Chr01A	5640000	5670000	5655000	0	0	0	0	0
Chr01A	5670000	5700000	5685000	0	0	0	0	0
Chr01A	5700000	5730000	5715000	74.046605	66.240978	70.1437915	74.046605	1
Chr01A	5730000	5760000	5745000	7.5209215	9.0031355	8.2620285	9.2673075	2
Chr01A	5760000	5790000	5775000	0	0	0	0	0
Chr01A	5790000	5820000	5805000	0	0	0	0	1
Chr01A	5820000	5850000	5835000	0	0	0	0	0
Chr01A	5850000	5880000	5865000	0	0	0	0	0
Chr01A	5880000	5910000	5895000	0.901142	1.404677	1.1529095	1.404677	1
Chr01A	5910000	5940000	5925000	0	0	0	0	0
Chr01A	5940000	5970000	5955000	0	0	0	0	1
Chr01A	5970000	6e+06	5985000	0	0	0	0	0
Chr01A	6e+06	6030000	6015000	0	0	0	0	0
Chr01A	6030000	6060000	6045000	7.750541	9.75873125	8.754636125	9.75873125	4
Chr01A	6060000	6090000	6075000	0.468733	0.841789666666667	0.655261333333333	0.979158	3
Chr01A	6090000	6120000	6105000	0	0	0	0	0
Chr01A	6120000	6150000	6135000	2.438593	1.581793	2.010193	2.438593	1
Chr01A	6150000	6180000	6165000	0	0	0	0	0
Chr01A	6180000	6210000	6195000	0	0	0	0	0
Chr01A	6210000	6240000	6225000	20.382565	21.719754	21.0511595	21.719754	1
Chr01A	6240000	6270000	6255000	29.61559	19.277865	24.4467275	29.61559	1
Chr01A	6270000	6300000	6285000	0	0	0	0	0
Chr01A	6300000	6330000	6315000	0	0	0	0	0
Chr01A	6330000	6360000	6345000	0	0	0	0	0
Chr01A	6360000	6390000	6375000	0	0	0	0	0
Chr01A	6390000	6420000	6405000	0	0	0	0	0
Chr01A	6420000	6450000	6435000	0	0	0	0	0
Chr01A	6450000	6480000	6465000	1.472181	5.773636	3.6229085	5.773636	1
Chr01A	6480000	6510000	6495000	0	0	0	0	0
Chr01A	6510000	6540000	6525000	0	0	0	0	0
Chr01A	6540000	6570000	6555000	0	0	0	0	0
Chr01A	6570000	6600000	6585000	0.736971	0.9279105	0.83244075	0.9279105	2
Chr01A	6600000	6630000	6615000	0	0	0	0	0
Chr01A	6630000	6660000	6645000	16.982913	8.931489	12.957201	16.982913	2
Chr01A	6660000	6690000	6675000	8.6182265	8.88100375	8.749615125	10.549971	4
Chr01A	6690000	6720000	6705000	0.013266	0.716962	0.365114	0.716962	1
Chr01A	6720000	6750000	6735000	7.782734	9.6753805	8.72905725	9.6753805	2
Chr01A	6750000	6780000	6765000	0	0	0	0	0
Chr01A	6780000	6810000	6795000	0	0	0	0	0
Chr01A	6810000	6840000	6825000	0	0	0	0	0
Chr01A	6840000	6870000	6855000	0	0	0	0	0
Chr01A	6870000	6900000	6885000	0	0	0	0	0
Chr01A	6900000	6930000	6915000	0	0	0	0	0
Chr01A	6930000	6960000	6945000	22.952711	33.152824	28.0527675	33.152824	1
Chr01A	6960000	6990000	6975000	23.889061	26.406766	25.1479135	26.406766	2
Chr01A	6990000	7020000	7005000	0	0	0	0	0
Chr01A	7020000	7050000	7035000	0	0	0	0	0
Chr01A	7050000	7080000	7065000	0	0	0	0	0
Chr01A	7080000	7110000	7095000	0.817297	0.358004	0.5876505	0.817297	1
Chr01A	7110000	7140000	7125000	0.477596	0.4357725	0.45668425	0.477596	2
Chr01A	7140000	7170000	7155000	29.55051	48.632021	39.0912655	48.632021	1
Chr01A	7170000	7200000	7185000	95.205069	140.775602	117.9903355	140.775602	1
Chr01A	7200000	7230000	7215000	4.495901	3.380133	3.938017	4.495901	2
Chr01A	7230000	7260000	7245000	5.396274	6.570336	5.983305	6.570336	1
Chr01A	7260000	7290000	7275000	0	0	0	0	0
Chr01A	7290000	7320000	7305000	0.411774	0.850156	0.630965	0.850156	1
Chr01A	7320000	7350000	7335000	0	0	0	0	0
Chr01A	7350000	7380000	7365000	3.60838733333333	1.88100666666667	2.744697	3.60838733333333	3
Chr01A	7380000	7410000	7395000	0	0	0	0	0
Chr01A	7410000	7440000	7425000	2.658304	2.586862	2.622583	2.658304	1
Chr01A	7440000	7470000	7455000	0	0	0	0	0
Chr01A	7470000	7500000	7485000	0	0	0	0	0
Chr01A	7500000	7530000	7515000	0.300166333333333	0.709125333333333	0.504645833333333	0.709125333333333	3
Chr01A	7530000	7560000	7545000	48.5685085	11.0569215	29.812715	48.970482	2
Chr01A	7560000	7590000	7575000	0	0	0	0	0
Chr01A	7590000	7620000	7605000	3.6928165	3.56211	3.62746325	3.786521	2
Chr01A	7620000	7650000	7635000	0.21218725	0.62182425	0.41700575	0.62182425	4
Chr01A	7650000	7680000	7665000	5.10764	6.075825	5.5917325	6.075825	2
Chr01A	7680000	7710000	7695000	0	0	0	0	0
Chr01A	7710000	7740000	7725000	3.5265625	4.451958	3.98926025	4.451958	2
Chr01A	7740000	7770000	7755000	11.811818	22.966405	17.3891115	23.0358465	2
Chr01A	7770000	7800000	7785000	23.045244	13.364555	18.2048995	23.058254	2
Chr01A	7800000	7830000	7815000	5.94733366666667	7.69406233333333	6.820698	7.69406233333333	3
Chr01A	7830000	7860000	7845000	0	0	0	0	1
Chr01A	7860000	7890000	7875000	115.530341	76.250923	95.890632	115.530341	1
Chr01A	7890000	7920000	7905000	61.110391	59.369774	60.2400825	61.110391	1
Chr01A	7920000	7950000	7935000	8.03363733333333	7.33743233333333	7.68553483333333	8.82534333333333	3
Chr01A	7950000	7980000	7965000	0	0	0	0	1
Chr01A	7980000	8010000	7995000	5.1014165	7.7781645	6.4397905	7.7781645	2
Chr01A	8010000	8040000	8025000	0	0	0	0	0
Chr01A	8040000	8070000	8055000	0	0	0	0	0
Chr01A	8070000	8100000	8085000	0.161555	1.304077	0.732816	1.304077	1
Chr01A	8100000	8130000	8115000	0	0.0102053333333333	0.00510266666666667	0.0102053333333333	3
Chr01A	8130000	8160000	8145000	0	0	0	0	0
Chr01A	8160000	8190000	8175000	157.626435	187.748495	172.687465	187.748495	1
Chr01A	8190000	8220000	8205000	0	0	0	0	1
Chr01A	8220000	8250000	8235000	21.32281025	22.42709225	21.87495125	22.492525	4
Chr01A	8250000	8280000	8265000	7.434712	7.87207666666667	7.65339433333333	8.15187733333333	3
Chr01A	8280000	8310000	8295000	0	0	0	0	0
Chr01A	8310000	8340000	8325000	16.156216	16.323422	16.239819	16.323422	1
Chr01A	8340000	8370000	8355000	4.502444	3.0840495	3.79324675	4.663044	2
Chr01A	8370000	8400000	8385000	0	0	0	0	0
Chr01A	8400000	8430000	8415000	11.514608	21.032905	16.2737565	21.3903263333333	3
Chr01A	8430000	8460000	8445000	0	0.39066	0.19533	0.39066	1
Chr01A	8460000	8490000	8475000	27.33152	41.684388	34.507954	41.684388	1
Chr01A	8490000	8520000	8505000	38.711178	55.971218	47.341198	55.971218	1
Chr01A	8520000	8550000	8535000	2.30243133333333	0.530034333333333	1.41623283333333	2.30243133333333	3
Chr01A	8550000	8580000	8565000	0	0	0	0	0
Chr01A	8580000	8610000	8595000	5.864496	24.525868	15.195182	24.525868	1
Chr01A	8610000	8640000	8625000	0	0	0	0	0
Chr01A	8640000	8670000	8655000	0.032976	1.514687	0.7738315	1.514687	1
Chr01A	8670000	8700000	8685000	1.985666	5.2261975	3.60593175	5.2261975	2
Chr01A	8700000	8730000	8715000	1.243375	1.8151325	1.52925375	1.8151325	2
Chr01A	8730000	8760000	8745000	1.6843405	3.205764	2.44505225	3.372317	2
Chr01A	8760000	8790000	8775000	10.3606145	5.3200415	7.840328	10.3606145	2
Chr01A	8790000	8820000	8805000	2.5435015	0.2024485	1.372975	2.5435015	2
Chr01A	8820000	8850000	8835000	0	0	0	0	0
Chr01A	8850000	8880000	8865000	0	0.0374895	0.01874475	0.0374895	2
Chr01A	8880000	8910000	8895000	11.2870435	2.1599275	6.7234855	11.289201	2
Chr01A	8910000	8940000	8925000	0	0	0	0	0
Chr01A	8940000	8970000	8955000	0.075382	0.031288	0.053335	0.075382	1
Chr01A	8970000	9e+06	8985000	84.098988	202.593992	143.34649	202.593992	1
Chr01A	9e+06	9030000	9015000	0	0	0	0	0
Chr01A	9030000	9060000	9045000	4.8959955	4.4024675	4.6492315	4.8959955	2
Chr01A	9060000	9090000	9075000	0.223624	4.0602	2.141912	4.0602	1
Chr01A	9090000	9120000	9105000	0	0.0722492857142857	0.0361246428571429	0.0722492857142857	7
Chr01A	9120000	9150000	9135000	21.593419	10.818178	16.2057985	21.593419	1
Chr01A	9150000	9180000	9165000	15.669562	16.277363	15.9734625	16.277363	1
Chr01A	9180000	9210000	9195000	5.048225	3.459728	4.2539765	5.048225	1
Chr01A	9210000	9240000	9225000	10.5997735	11.266191	10.93298225	11.3052776666667	6
Chr01A	9240000	9270000	9255000	105.727486	504.088148	304.907817	504.088148	1
Chr01A	9270000	9300000	9285000	1.678001	1.965823	1.821912	1.96891366666667	3
Chr01A	9300000	9330000	9315000	25.5258695	28.542212	27.03404075	30.132576	2
Chr01A	9330000	9360000	9345000	0	0	0	0	0
Chr01A	9360000	9390000	9375000	11.2226725	10.2958685	10.7592705	11.2226725	2
Chr01A	9390000	9420000	9405000	8.354943	12.100446	10.2276945	12.3970735	2
Chr01A	9420000	9450000	9435000	3.819757	9.360257	6.590007	9.360257	1
Chr01A	9450000	9480000	9465000	102.154743333333	26.5850536666667	64.3698985	106.668898	3
Chr01A	9480000	9510000	9495000	0	0	0	0	0
Chr01A	9510000	9540000	9525000	0	0	0	0	0
Chr01A	9540000	9570000	9555000	0	0.758152	0.379076	0.758152	1
Chr01A	9570000	9600000	9585000	0	0	0	0	0
Chr01A	9600000	9630000	9615000	4.745739	4.892363	4.819051	4.892363	1
Chr01A	9630000	9660000	9645000	7.64714466666667	13.8837396666667	10.7654421666667	13.8837396666667	3
Chr01A	9660000	9690000	9675000	1.826708	5.052251	3.4394795	5.052251	1
Chr01A	9690000	9720000	9705000	0	0	0	0	1
Chr01A	9720000	9750000	9735000	0	0	0	0	1
Chr01A	9750000	9780000	9765000	0.149588	1.188092	0.66884	1.188092	2
Chr01A	9780000	9810000	9795000	0	0	0	0	1
Chr01A	9810000	9840000	9825000	9.2809425	14.1897675	11.735355	14.8465005	2
Chr01A	9840000	9870000	9855000	4.058362	4.584807	4.3215845	4.584807	1
Chr01A	9870000	9900000	9885000	37.524474	183.907336	110.715905	183.907336	2
Chr01A	9900000	9930000	9915000	15.107866	25.22533075	20.166598375	26.53937375	4
Chr01A	9930000	9960000	9945000	0.161527	0.7348155	0.44817125	0.7348155	2
Chr01A	9960000	9990000	9975000	13.3069935	13.917084	13.61203875	13.917084	2
Chr01A	9990000	10020000	10005000	333.111929	203.824986	268.4684575	357.39859475	4
Chr01A	10020000	10050000	10035000	6.879655	13.036136	9.9578955	13.036136	1
Chr01A	10050000	10080000	10065000	6.6725095	26.963599	16.81805425	26.963599	2
Chr01A	10080000	10110000	10095000	0	0	0	0	0
Chr01A	10110000	10140000	10125000	0	0	0	0	0
Chr01A	10140000	10170000	10155000	23.69381	132.885977	78.2898935	132.885977	2
Chr01A	10170000	10200000	10185000	0	0	0	0	0
Chr01A	10200000	10230000	10215000	46.886949	19.417215	33.152082	46.886949	1
Chr01A	10230000	10260000	10245000	1.37605875	2.25497275	1.81551575	2.25497275	4
Chr01A	10260000	10290000	10275000	2.860511	3.680637	3.270574	3.680637	1
Chr01A	10290000	10320000	10305000	0	0	0	0	0
Chr01A	10320000	10350000	10335000	0.143929	4.792217	2.468073	4.792217	1
Chr01A	10350000	10380000	10365000	2.3089265	2.1822295	2.245578	2.33238	2
Chr01A	10380000	10410000	10395000	0.318041	3.5502635	1.93415225	3.585347	2
Chr01A	10410000	10440000	10425000	8.455937	10.1841205	9.32002875	10.289734	2
Chr01A	10440000	10470000	10455000	3.802379	7.0103275	5.40635325	7.0103275	2
Chr01A	10470000	10500000	10485000	5.94005	2.264799	4.1024245	5.94005	1
Chr01A	10500000	10530000	10515000	0	0	0	0	0
Chr01A	10530000	10560000	10545000	0	0	0	0	0
Chr01A	10560000	10590000	10575000	2.637854	5.854947	4.2464005	5.854947	1
Chr01A	10590000	10620000	10605000	0.608138	1.723305	1.1657215	1.723305	1
Chr01A	10620000	10650000	10635000	0	0	0	0	0
Chr01A	10650000	10680000	10665000	38.4929403333333	44.5881636666667	41.540552	45.514944	3
Chr01A	10680000	10710000	10695000	2.15196375	6.65475575	4.40335975	6.67426425	4
Chr01A	10710000	10740000	10725000	0.47098	4.21931	2.345145	4.21931	1
Chr01A	10740000	10770000	10755000	0	0	0	0	0
Chr01A	10770000	10800000	10785000	38.528818	27.57276	33.050789	38.528818	1
Chr01A	10800000	10830000	10815000	40.42876	2.216393	21.3225765	40.42876	1
Chr01A	10830000	10860000	10845000	20.0936325	15.950992	18.02231225	20.0936325	2
Chr01A	10860000	10890000	10875000	45.8960196666667	38.693108	42.2945638333333	45.9336886666667	3
Chr01A	10890000	10920000	10905000	8.23867875	4.50602425	6.3723515	9.124372	4
Chr01A	10920000	10950000	10935000	0	0	0	0	0
Chr01A	10950000	10980000	10965000	11.1667385	13.0701885	12.1184635	13.3058215	2
Chr01A	10980000	11010000	10995000	2.82693125	3.4652715	3.146101375	3.4652715	4
Chr01A	11010000	11040000	11025000	0	0	0	0	1
Chr01A	11040000	11070000	11055000	0	0	0	0	1
Chr01A	11070000	11100000	11085000	0	0	0	0	0
Chr01A	11100000	11130000	11115000	0.754194	0.735660333333333	0.744927166666667	0.893327666666667	3
Chr01A	11130000	11160000	11145000	2.92059633333333	3.114584	3.01759016666667	3.114584	3
Chr01A	11160000	11190000	11175000	8.8823695	7.987181	8.43477525	9.3456765	2
Chr01A	11190000	11220000	11205000	0.9030705	4.193222	2.54814625	4.2024585	2
Chr01A	11220000	11250000	11235000	3.522619	0.756831	2.139725	3.522619	1
Chr01A	11250000	11280000	11265000	1.565878	1.91325433333333	1.73956616666667	1.91325433333333	3
Chr01A	11280000	11310000	11295000	0.117384333333333	0.176571666666667	0.146978	0.190376	3
Chr01A	11310000	11340000	11325000	0.169682	0	0.084841	0.169682	1
Chr01A	11340000	11370000	11355000	99.60056	41.485777	70.5431685	99.60056	2
Chr01A	11370000	11400000	11385000	0.556134	1.747035	1.1515845	1.747035	1
Chr01A	11400000	11430000	11415000	0	0	0	0	3
Chr01A	11430000	11460000	11445000	0	0.085012	0.042506	0.085012	1
Chr01A	11460000	11490000	11475000	0	0	0	0	0
Chr01A	11490000	11520000	11505000	410.870763	55.272892	233.0718275	410.870763	1
Chr01A	11520000	11550000	11535000	19.5436865	17.540979	18.54233275	19.6137495	4
Chr01A	11550000	11580000	11565000	60.8354726666667	71.30132	66.0683963333333	90.1115996666667	3
Chr01A	11580000	11610000	11595000	3.02352233333333	7.02978933333333	5.02665583333333	7.02978933333333	3
Chr01A	11610000	11640000	11625000	7.280276	12.97163	10.125953	12.97163	1
Chr01A	11640000	11670000	11655000	0	0	0	0	0
Chr01A	11670000	11700000	11685000	0	0	0	0	0
Chr01A	11700000	11730000	11715000	2.8030745	36.659848	19.73146125	36.659848	2
Chr01A	11730000	11760000	11745000	83.950112	92.962519	88.4563155	92.962519	1
Chr01A	11760000	11790000	11775000	15.21535	29.18626	22.200805	29.18626	2
Chr01A	11790000	11820000	11805000	10.64445	15.183416	12.913933	15.183416	1
Chr01A	11820000	11850000	11835000	6.0331885	4.387331	5.21025975	6.0331885	2
Chr01A	11850000	11880000	11865000	4.2416985	2.67380675	3.457752625	4.2416985	4
Chr01A	11880000	11910000	11895000	0	0	0	0	1
Chr01A	11910000	11940000	11925000	9.957136	11.40025275	10.678694375	12.3278985	4
Chr01A	11940000	11970000	11955000	0	0.25685	0.128425	0.25685	1
Chr01A	11970000	1.2e+07	11985000	0.27402	0.255302	0.264661	0.27402	1
Chr01A	1.2e+07	12030000	12015000	0	0	0	0	1
Chr01A	12030000	12060000	12045000	0.250236	0.344969	0.2976025	0.344969	1
Chr01A	12060000	12090000	12075000	0.26765325	0.5566195	0.412136375	0.5566195	4
Chr01A	12090000	12120000	12105000	0.635492	0.129992	0.382742	0.635492	1
Chr01A	12120000	12150000	12135000	0	0	0	0	3
Chr01A	12150000	12180000	12165000	20.482346	23.092188	21.787267	23.092188	1
Chr01A	12180000	12210000	12195000	13.821319	57.96653075	35.893924875	57.96653075	4
